,Title,Price,Image_reference
0,"Laptop Hp 245 G9 Amd Ryzen 3 3250u Hasta 3,5 Ghz, Memoria Ram De 16 Gb Ddr4, Ssd 256 Gb, Windows 11 Home 64-bit, Teclado En Español, 14 Pulgadas, Negro.","$9,999",https://http2.mlstatic.com/D_NQ_NP_661047-MLU73159073286_122023-V.webp
1,Laptop Hp 14-dq0518la Celeron N4120 Ram 4gb Ssd 128gb W11h Color Plateado,"$6,999",https://http2.mlstatic.com/D_NQ_NP_926238-MLU72542014390_112023-V.webp
2,Notebook 245 G9 14in negro 16GB de Ram - 512GB SSD - AMD Ryzen 3,"$9,999",https://http2.mlstatic.com/D_NQ_NP_676170-MLA74065928204_012024-V.webp
3,Laptop Huawei Matebook D16 I5 12a 8gb 512gb Ssd Windows 11,"$16,999",https://http2.mlstatic.com/D_NQ_NP_967279-MLU74294473211_012024-V.webp
4,"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial - Distribuidor Autorizado","$25,999",https://http2.mlstatic.com/D_NQ_NP_801112-MLA46516512347_062021-V.webp
5,Laptop Hp 240 G9 Intel Core I3 1215u 512gb Ssd 16gb Ram 1366x768px Windows 11 Home + Antivirus Norton 360,"$10,499",https://http2.mlstatic.com/D_NQ_NP_928555-MLU77949313597_072024-V.webp
6,Laptop Lenovo Ideapad Touch 15.6 Ryzen 3 7320u 8gb 256gb ssd,"$10,999",https://http2.mlstatic.com/D_NQ_NP_761789-MLU77976627035_072024-V.webp
7,Laptop Lenovocore I5 1335 8gb Y 512gb Win 11 Touch 15.6 Color Azul marino,"$8,710",https://http2.mlstatic.com/D_NQ_NP_934120-MLU74112410676_012024-V.webp
8,Laptop Intel Celeron 14.1' Uhd Graphics 600 Space Gray,"$3,084",https://http2.mlstatic.com/D_NQ_NP_991774-CBT76891805302_062024-V.webp
9,Laptop Blackview Acebook 8 Intel N97 16gb + 512gb Ssd Win 11,"$5,790",https://http2.mlstatic.com/D_NQ_NP_781234-MLM78196499594_082024-V.webp
10,Laptop Intel Celeron 2 en 1 Notebook DDR4 16 GB RAM 512 GB SSD 15.6' Plateado 1920 px x 1080 px Windows 11,"$8,952",https://http2.mlstatic.com/D_NQ_NP_869818-MLU77724314601_072024-V.webp
11,"Portátil Ultrabook L16AIR 16"" plateado 16GB de Ram 512GB SSD AMD Ryzen 7","$23,260",https://http2.mlstatic.com/D_NQ_NP_911657-MLU73129566542_122023-V.webp
12,Laptop Lenovo Ideapad 3 Intel Ci3 8gb 256ssd Windows 11 Color Frost blue,"$13,999",https://http2.mlstatic.com/D_NQ_NP_630871-MLU74338660767_022024-V.webp
13,Laptop Hp 14-dq5024la Intel Core I3 8gb Ram 512 Gb Ssd,"$10,299",https://http2.mlstatic.com/D_NQ_NP_916675-MLU75177911966_032024-V.webp
14,Laptop Lenovo Ideapad Slim 3 15.6'' Ci5 8gb + 512gb Ssd,"$14,999",https://http2.mlstatic.com/D_NQ_NP_621621-MLU73824611655_012024-V.webp
15,"Laptop Chuwi HeroBook Pro space gray 14.1"" Intel Celeron N4020 8GB de RAM 256GB SSD Intel UHD Graphics 600 1920x1080px Windows 11 Home","$8,904",https://http2.mlstatic.com/D_NQ_NP_658345-MLU77284065294_072024-V.webp
16,"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial","$12,699",https://http2.mlstatic.com/D_NQ_NP_801112-MLA46516512347_062021-V.webp
17,Laptop Hp 255 G8 Ryzen 5 5500u 16gb M.2 256gb Ssd W11h 15.6 Color Negro,"$9,999",https://http2.mlstatic.com/D_NQ_NP_857966-MLU72462237782_102023-V.webp
18,Laptop 14.1'' Intel Celeron 8gb+512gb Windows11 2.4ghz/5ghz,"$5,998",https://http2.mlstatic.com/D_NQ_NP_886294-MLM78421077605_082024-V.webp
19,"Netbook Intel Celeron 14 Uhd 600 Space Grey, Windows Laptop","$5,820",https://http2.mlstatic.com/D_NQ_NP_643256-CBT76341928972_052024-V.webp
20,"Laptop MSI Gamer Thin GF63 15.6"" 16GB de Ram 512GB SSD Intel Core i5 11400H Black","$16,999",https://http2.mlstatic.com/D_NQ_NP_839779-MLU74440540707_022024-V.webp
21,Laptop Hp 255 G8 Ryzen 5 5500u 16gb 256gb Ssd 15.6 + Mouse,"$9,999",https://http2.mlstatic.com/D_NQ_NP_889833-MLU75293676959_032024-V.webp
22,"Notebook D-1420 14.1"" gris 8GB de Ram - 256GB SSD - Intel Celeron Win11 pro","$9,700",https://http2.mlstatic.com/D_NQ_NP_909522-MLA71802228099_092023-V.webp
23,Laptop Hp 245 G9 Amd Ryzen 3 3250u 8gb Ssd 256gb 14 Hd W11h Color Negro,"$6,999",https://http2.mlstatic.com/D_NQ_NP_676170-MLA74065928204_012024-V.webp
24,Laptop Hp 255 G8 Amd Ryzen 5-5500u 8gb 256gb Ssd W11h Color Negro,"$8,999",https://http2.mlstatic.com/D_NQ_NP_703621-MLA73952591566_012024-V.webp
25,Laptop Dell Inspiron 15 Ryzen 5 8gb Ddr5 512gb Ssd + Mouse,"$10,499",https://http2.mlstatic.com/D_NQ_NP_649232-MLU74860078585_032024-V.webp
26,Laptop Lenovo Slim 3 15abr8 Ryzen 7-7730u 512gb Ssd 16gb Ram Color Artic Grey,"$15,999",https://http2.mlstatic.com/D_NQ_NP_659106-MLU76634650037_052024-V.webp
27,Laptop Hp 14 Dq0509la Celeron N4120 Ram 4gb Ssd 128gb,"$6,999",https://http2.mlstatic.com/D_NQ_NP_733609-MLM52162894872_102022-V.webp
28,"Laptop Chuwi Corebook X 14 Intel Core I5, 16gb De Ram 512gb Ssd,4k Windows 11 Gris,teclado Iluminado&con Ventilador","$15,500",https://http2.mlstatic.com/D_NQ_NP_791618-MLU76947237751_062024-V.webp
29,"Laptop Lenovo Ideapad Slim 3 Intel Core I3-1305u 13.a Generación, 8 Gb Ram, 256 Gb Ssd, 15.6 Pulgadas Full Hd, Intel Uhd Graphics , Windows 11 Home 64 Bits, Teclado En Español.","$9,389",https://http2.mlstatic.com/D_NQ_NP_607091-MLU74088273967_012024-V.webp
30,"Laptop Lenovo V14 G3 Iap: Intel Core i3 1215U, RAM 8GB DDR4, SSD 256GB, Pantalla LED de 14"", Windows 11 Home.","$5,699",https://http2.mlstatic.com/D_NQ_NP_822506-MLU77406348642_072024-V.webp
31,"Laptop Hp 240 G9 Intel Core I3-1215u 12va Generación, 16gb Ram, 256gb Ssd, Windows 11 Home. Teclado En Español 14 Pulgadas Hd.","$5,999",https://http2.mlstatic.com/D_NQ_NP_842014-MLU77495158359_072024-V.webp
32,"Laptop Lenovo Ideapad Slim 5 Amd Ryzen 5 7530u, 16gb Ram, 512gb Ssd, Windows 11 Home 64-bit, Wuxga, Teclado En Español Retroiluminado, Gris","$9,199",https://http2.mlstatic.com/D_NQ_NP_917141-MLU74827940031_022024-V.webp
33,Laptop Hp 240 G9 Core I5 Ram 16gb Ssd 512gb 14 Pulgadas W11h Color Negro,"$8,525",https://http2.mlstatic.com/D_NQ_NP_964809-MLU73466070686_122023-V.webp
34,Laptop Lenovo Ideapad Celeron 4gb + 128ssd + Office Regalo Color Gris,"$3,793",https://http2.mlstatic.com/D_NQ_NP_640104-MLU72721294581_112023-V.webp
35,"Laptop gamer Thunderobot R16 Gris Oscuro 16"" Intel Core i7 14650HX 16GB de RAM 1TB SSD Nvidia GeForce RTX 4060 240 Hz 2560x1600px RGB Teclado español Windows 11 Pro","$38,780",https://http2.mlstatic.com/D_NQ_NP_737708-MLU77963391943_072024-V.webp
36,"Notebook Inspiron 3520 15.6"" plata 16GB de Ram - 512GB SSD - Intel Core i7","$14,290",https://http2.mlstatic.com/D_NQ_NP_832980-MLA72386770514_102023-V.webp
37,Laptop Lenovo 15.6 Core I5-12450h 16gb Ram 512gb Ssd Color Gris,"$9,999",https://http2.mlstatic.com/D_NQ_NP_830451-MLU77306937527_062024-V.webp
38,Laptop Lenovo IdeaPad 3 15itl6 82H80358US I5-1135G7 8GB Ram 512GB Ssd - Color Gris,"$8,651",https://http2.mlstatic.com/D_NQ_NP_971030-MLU75924323512_042024-V.webp
39,"Ultrabook Acer Aspire Lite Aspire Lite 14 Plateada 14 , Intel Core I3 1215u 8gb De Ram 0gb Hdd 512gb Ssd 0gb Optane 60 Hz Wuxga Windows 11 Home","$12,999",https://http2.mlstatic.com/D_NQ_NP_632443-MLU75597028483_042024-V.webp
40,"Laptop Hp 240 G9 Intel Core I3-1215u 12va Generación, 8gb Ram, 256gb Ssd, Windows 11 Home, 14 Pulgadas Hd, Teclado En Español.","$6,999",https://http2.mlstatic.com/D_NQ_NP_655307-MLU74569172366_022024-V.webp
41,Laptop Lenovo Gamer Ryzen 5 8gb 512gb Win11 Rtx2050 Diginet Color Gris,"$12,519",https://http2.mlstatic.com/D_NQ_NP_763874-MLU74006027645_012024-V.webp
42,Laptop Hp 245 G9 Ryzen 3 3250u 8gb M.2 512gb Ssd 14 7f213lt Color Negro,"$7,999",https://http2.mlstatic.com/D_NQ_NP_877481-MLU72564528464_112023-V.webp
43,"Notebook Laptop Geobook 2E 12.5"" negro 4GB de Ram - 64GB SSD - Intel Celeron","$3,999",https://http2.mlstatic.com/D_NQ_NP_670729-MLA74556741241_022024-V.webp
44,Laptop Dell Inspiron 3520 15.6 Ci5 16gb Ram 512gb Ssd Color Plateado,"$12,049",https://http2.mlstatic.com/D_NQ_NP_992954-MLU76548885616_052024-V.webp
45,"Laptop Hp: Intel Core I5, Ram 12gb, Ssd 512gb, 17.3 , W11h","$17,460",https://http2.mlstatic.com/D_NQ_NP_991797-MLU54960139525_042023-V.webp
46,"Notebook Inspiron 3520 15.6"" plateado 16GB de Ram - 512GB SSD - Intel Core i5","$10,399",https://http2.mlstatic.com/D_NQ_NP_717790-MLA72715116495_112023-V.webp
47,Rtx4060 Laptop Gamer Ryzen 7 7735h Machenike L16pro 16'' 165Hz QHD DDR5 16g RAM 1t SSD,"$34,900",https://http2.mlstatic.com/D_NQ_NP_875287-MLU73599603547_122023-V.webp
48,Laptop Lenovo Ideapad Slim 3 15iru8 Intel Core I7 1355u Ram 16gb 1tb Ssd 15.6 Touch Windows 11 Home Teclado En Español,"$16,438",https://http2.mlstatic.com/D_NQ_NP_846192-MLU77784835623_072024-V.webp
49,"Laptop HP 15-fd0000la 15.6'' Intel Core i3, 8 GB, 512 GB, 15.6, azul","$8,599",https://http2.mlstatic.com/D_NQ_NP_823646-MLU72339963713_102023-V.webp
50,Laptop Huawei Matebook D16 Core I5 16gb Ram +1tb Ssd,"$17,999",https://http2.mlstatic.com/D_NQ_NP_893516-MLU74291081084_022024-V.webp
51,"Laptop Lenovo 15.6 Fhd, Pentium Silver, 4gb Ram, 128gbemmc Color Negro","$4,319",https://http2.mlstatic.com/D_NQ_NP_918424-MLU73442064796_122023-V.webp
52,"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Plata","$14,999",https://http2.mlstatic.com/D_NQ_NP_648428-MLA46516517286_062021-V.webp
53,"Laptop Lenovo Ideapad 3, Ryzen 7 5700u, 12gb Ram, 512 Gb Ssd M.2, Pantalla Táctil Fhd Touchscreen 15.6 Pulgadas - Teclado Retroiluminado En Español","$9,999",https://http2.mlstatic.com/D_NQ_NP_858240-MLU77325846389_062024-V.webp
